call,qsos_submitted,qsos_dropped,qsos_valid,cw_qso,cw_qso_pts,ph_qso,ph_qso_pts,total_qso_pts,gs_1,gs_3,gs_7,gs_14,gs_21,gs_28,gs_50,total_gs,operated_totality,operated_outdoors,operated_public,ground_conductivity,antenna_design,erpd,skimmers,iq_data,spot_bonus,total
AA1K,56,0,56,56,112,0,0,112,18,0,0,29,2,0,0,49,100,100,100,50,0,0,0,0,90,5928
AA3B,680,0,680,680,1360,0,0,1360,1,23,99,160,12,1,0,296,100,100,100,50,100,300,0,0,656,403966
AA3WB,24,0,24,0,0,24,24,24,0,0,14,6,0,0,0,20,100,100,100,50,100,0,0,0,0,930
AA4LR,61,1,60,52,104,8,8,112,0,0,20,29,4,1,0,54,100,100,100,50,0,200,0,0,96,6694
AA5AD,27,0,27,27,54,0,0,54,0,0,0,19,0,0,0,19,100,100,100,0,0,0,0,0,38,1364
AA5VN,21,0,21,21,42,0,0,42,0,0,0,15,0,0,0,15,100,100,100,0,0,0,0,0,48,978
AA9K,18,0,18,18,36,0,0,36,0,0,13,0,0,0,0,13,100,100,100,50,0,0,0,0,10,828
AB1J,27,0,27,27,54,0,0,54,0,0,13,1,0,0,0,14,100,100,100,50,0,0,0,0,19,1125
AB3GY,79,1,78,78,156,0,0,156,0,0,51,1,0,0,0,52,100,100,100,50,0,100,100,0,232,8894
AB3RU,8,0,8,8,16,0,0,16,0,0,4,4,0,0,0,8,100,100,100,50,0,0,0,0,9,487
AB4VT,14,0,14,10,20,4,4,24,0,0,2,12,0,0,0,14,100,100,100,50,0,100,0,0,44,830
AB5J,172,0,172,13,26,159,159,185,0,0,0,95,0,0,0,95,100,100,100,50,100,100,0,0,111,18236
AB5XM,6,0,6,6,12,0,0,12,0,0,0,6,0,0,0,6,100,100,100,50,0,0,0,0,113,535
AB7WP,4,0,4,0,0,4,4,4,0,1,3,0,0,0,0,4,100,100,100,50,0,0,0,0,0,366
AB9CA,54,0,54,54,108,0,0,108,0,0,35,0,0,0,0,35,100,100,100,0,0,0,0,0,46,4126
AB9PR,10,0,10,0,0,10,10,10,0,0,0,9,0,0,0,9,100,100,100,50,0,0,0,0,0,440
AB9YC,100,0,100,100,200,0,0,200,0,1,20,46,0,0,0,67,100,100,100,0,0,0,0,0,157,13857
AB9ZZ,37,1,36,36,72,0,0,72,0,0,0,29,0,0,0,29,100,100,100,0,0,0,0,0,14,2402
AC0PR,18,0,18,18,36,0,0,36,0,0,0,17,0,0,0,17,100,100,100,0,0,0,0,0,10,922
AC7AF,49,0,49,49,98,0,0,98,0,0,7,33,1,0,0,41,100,100,100,0,100,0,0,0,74,4492
AC8JW,14,0,14,14,28,0,0,28,0,0,3,11,0,0,0,14,100,100,100,50,0,0,0,0,21,763
AC9AK,13,0,13,7,14,6,6,20,0,0,0,12,0,0,0,12,100,100,100,50,0,0,0,0,2,592
AD0P,86,61,25,22,44,3,3,47,0,0,0,1,0,0,0,1,100,100,100,50,0,50,50,0,579,1076
AD0TA,36,18,18,18,36,0,0,36,0,0,0,18,0,0,0,18,100,100,100,50,0,50,0,0,95,1143
AD4TJ,30,15,15,15,30,0,0,30,0,0,0,11,0,0,0,11,100,100,100,50,100,50,0,0,24,854
AD5KZ,4,2,2,0,0,2,2,2,0,0,0,2,0,0,0,2,100,100,100,50,0,0,0,0,0,354
AD5XD,82,8,74,74,148,0,0,148,0,0,0,53,0,0,0,53,100,100,100,50,0,50,0,0,221,8465
AD6ZR,17,0,17,17,34,0,0,34,0,0,0,15,0,0,0,15,100,100,100,0,0,0,0,0,15,825
AD7KG,33,0,33,17,34,16,16,50,0,0,0,24,0,0,0,24,100,100,100,50,0,0,0,0,37,1587
AE1T,176,0,176,175,350,1,1,351,0,7,28,88,0,0,0,123,100,100,100,50,100,150,0,0,304,44077
AE3J,11,0,11,11,22,0,0,22,0,0,7,4,0,0,0,11,100,100,100,50,0,100,0,0,8,700
AE9LL,3,0,3,3,6,0,0,6,0,0,1,2,0,0,0,3,100,100,100,50,0,250,0,0,0,618
AF0E-7,39,0,39,39,78,0,0,78,0,0,0,32,0,0,0,32,100,100,100,0,0,0,0,0,64,2860
AF4HL,3,0,3,3,6,0,0,6,0,0,0,2,1,0,0,3,100,100,100,50,0,0,0,0,0,368
AF4MP-M,9,0,9,0,0,9,9,9,0,0,9,0,0,0,0,9,100,100,100,0,0,0,0,0,0,381
AF6HC,2,0,2,1,2,1,1,3,0,0,0,1,0,0,0,1,100,100,100,0,0,0,0,0,0,303
AF8A,33,1,32,32,64,0,0,64,0,2,9,18,0,0,0,29,100,100,100,0,0,0,0,0,62,2218
AG7GP,50,0,50,0,0,50,50,50,0,0,25,14,0,0,0,39,100,100,100,50,100,0,0,0,0,2400
AI6IN,12,0,12,0,0,12,12,12,0,0,0,10,0,0,0,10,100,100,100,50,0,50,50,0,32,602
AI6LY,130,0,130,0,0,130,130,130,0,0,6,83,0,0,0,89,100,100,100,50,0,100,0,0,0,12020
AI6SL,15,0,15,15,30,0,0,30,0,0,1,13,0,0,0,14,100,100,100,0,0,0,0,0,1,721
AJ3C,15,0,15,15,30,0,0,30,0,0,0,14,0,0,0,14,100,100,100,0,0,0,0,0,163,883
AJ4PW,36,6,30,0,0,30,30,30,0,0,1,25,0,0,0,26,100,100,100,0,0,0,0,0,0,1080
AJ6T,21,0,21,21,42,0,0,42,0,0,0,15,0,0,0,15,100,100,100,50,0,50,0,0,799,1829
AK0W,10,0,10,10,20,0,0,20,0,0,0,10,0,0,0,10,100,100,100,50,0,50,50,0,82,732
AK4NG,9,0,9,9,18,0,0,18,0,0,3,5,0,0,0,8,100,100,100,50,100,0,0,0,198,792
AK7O,61,1,60,60,120,0,0,120,0,0,0,40,0,0,0,40,100,100,100,0,0,50,0,0,110,5260
AL7LO,57,0,57,56,112,1,1,113,0,0,0,39,0,0,0,39,100,100,100,50,0,50,0,0,161,4968
CG3ZN,17,0,17,1,2,16,16,18,0,0,7,8,0,0,0,15,100,100,100,0,100,0,0,0,0,670
CT7AIX,8,0,8,8,16,0,0,16,0,0,0,8,0,0,0,8,100,100,100,0,0,0,0,0,31,459
EA3-SP5ULN,16,0,16,16,32,0,0,32,0,0,0,16,0,0,0,16,100,100,100,0,0,0,0,0,0,812
F1ABL,43,0,43,43,86,0,0,86,0,0,1,1,1,0,0,3,100,100,100,0,0,150,100,150,3,961
G3LDI,23,0,23,23,46,0,0,46,0,0,0,20,0,0,0,20,100,100,100,0,0,0,0,0,123,1343
G3UCQ,21,0,21,21,42,0,0,42,0,0,0,20,0,0,0,20,100,100,100,0,0,0,0,0,168,1308
G4GIR,9,4,5,5,10,0,0,10,0,0,0,5,0,0,0,5,100,100,100,0,0,0,0,0,77,427
G4KRW,24,12,12,12,24,0,0,24,0,0,12,0,0,0,0,12,100,100,100,50,0,0,0,0,197,835
K0ALB,1,0,1,1,2,0,0,2,0,0,0,1,0,0,0,1,100,100,100,0,0,0,0,0,0,302
K0AV,29,15,14,14,28,0,0,28,0,0,8,5,0,0,0,13,100,100,100,50,100,100,0,0,49,963
K0DTJ,97,16,81,81,162,0,0,162,0,1,19,42,0,0,0,62,100,100,100,0,0,150,0,0,156,10650
K0GUZ,15,0,15,15,30,0,0,30,0,0,7,7,0,0,0,14,100,100,100,0,0,0,0,0,26,746
K0GW,9,0,9,9,18,0,0,18,0,0,0,8,0,0,0,8,100,100,100,0,0,0,0,0,19,463
K0JY,48,0,48,48,96,0,0,96,0,0,0,22,0,0,0,22,100,100,100,0,100,0,0,0,103,2615
K0SAU,11,1,10,10,20,0,0,20,0,0,0,7,0,0,0,7,100,100,100,50,0,0,0,0,7,497
K0TQ,21,0,21,21,42,0,0,42,0,0,18,1,0,0,0,19,100,100,100,50,0,0,0,0,29,1177
K0UA,16,0,16,0,0,16,16,16,0,0,3,13,0,0,0,16,100,100,100,50,0,0,0,0,149,755
K0USA,59,2,57,0,0,57,57,57,0,0,0,44,0,0,0,44,100,100,100,50,0,50,0,0,0,2908
K0VH,16,0,16,10,20,6,6,26,0,0,0,15,0,0,0,15,100,100,100,50,0,150,0,0,50,940
K1AUS,4,0,4,0,0,4,4,4,0,0,0,4,0,0,0,4,100,100,100,50,0,250,0,0,3,619
K1EEE,175,1,174,174,348,0,0,348,0,0,0,0,0,0,0,0,100,100,100,50,0,150,0,0,225,725
K1LOL,33,0,33,33,66,0,0,66,0,0,10,23,0,0,0,33,100,100,100,50,0,0,0,0,380,2908
K1LT,118,1,117,117,234,0,0,234,0,0,66,0,0,0,0,66,100,100,100,0,0,0,0,0,107,15851
K1NKR,5,0,5,0,0,5,5,5,0,0,5,0,0,0,0,5,100,100,100,50,0,50,100,0,0,525
K1NPT,26,1,25,25,50,0,0,50,0,4,16,2,0,0,0,22,100,100,100,50,0,150,500,0,217,2317
K1NZ,3,0,3,3,6,0,0,6,0,0,3,0,0,0,0,3,100,100,100,0,0,0,0,0,75,393
K1OTZ,10,1,9,9,18,0,0,18,0,0,0,3,0,0,0,3,100,100,100,50,0,0,0,0,85,489
K1RV,77,0,77,77,154,0,0,154,2,7,22,19,1,0,0,51,100,100,100,50,0,0,0,0,226,8430
K1XRN,12,0,12,10,20,2,2,22,0,0,12,0,0,0,0,12,100,100,100,0,0,0,0,0,5,569
K2AA,44,1,43,34,68,9,9,77,0,0,7,29,0,0,0,36,100,100,100,50,0,100,0,0,86,3308
K2CIB,173,7,166,11,22,155,155,177,0,0,0,91,0,0,0,91,100,100,100,50,100,50,0,0,42,16649
K2DSW,308,0,308,308,616,0,0,616,0,0,65,101,0,0,0,166,100,100,100,0,0,0,0,0,330,102886
K2GLS,14,0,14,14,28,0,0,28,0,0,2,10,0,0,0,12,100,100,100,50,0,250,0,0,11,947
K2HVE,11,0,11,0,0,11,11,11,0,0,8,0,0,0,0,8,100,100,100,0,0,50,0,0,0,438
K2LE-1,221,11,210,210,420,0,0,420,0,9,13,110,12,0,0,144,100,100,100,0,0,0,0,0,416,61196
K2ND,27,0,27,27,54,0,0,54,0,0,11,15,0,0,0,26,100,100,100,50,0,250,0,0,44,2048
K2OID,42,2,40,40,80,0,0,80,0,0,11,20,0,0,0,31,100,100,100,0,0,50,0,0,43,2873
K2PAA,26,8,18,18,36,0,0,36,0,0,0,13,0,0,0,13,100,100,100,50,100,50,0,0,73,1041
K2PS,50,3,47,47,94,0,0,94,0,0,18,15,3,0,0,36,100,100,100,50,0,0,0,0,116,3850
K2QPN,17,0,17,17,34,0,0,34,0,0,0,17,0,0,0,17,100,100,100,50,0,50,50,50,21,1099
K2RYD,10,1,9,0,0,9,9,9,0,0,2,4,0,0,0,6,100,100,100,50,0,0,0,0,0,404
K3PP,71,0,71,71,142,0,0,142,0,30,18,0,0,0,0,48,100,100,100,50,0,0,0,0,42,7208
K3RRP,5,0,5,0,0,5,5,5,0,0,2,2,0,0,0,4,100,100,100,50,0,0,0,0,0,370
K3VX,26,2,24,24,48,0,0,48,0,0,4,17,0,0,0,21,100,100,100,50,0,100,0,0,50,1508
K3WR,56,0,56,53,106,3,3,109,0,0,0,38,0,0,0,38,100,100,100,50,0,0,0,0,53,4545
K3ZO,233,1,232,232,464,0,0,464,0,23,37,99,0,0,0,159,100,100,100,50,100,0,0,0,251,74477
K4BAI,454,1,453,453,906,0,0,906,3,15,81,145,5,0,0,249,100,100,100,0,0,0,0,0,500,226394
K4E,40,0,40,28,56,12,12,68,0,0,27,11,0,0,0,38,100,100,100,50,0,0,0,0,83,3017
K4FTP,46,1,45,45,90,0,0,90,0,0,8,32,0,0,2,42,100,100,100,0,0,0,0,0,475,4555
K4JWX,9,0,9,0,0,9,9,9,0,0,0,8,0,0,0,8,100,100,100,50,0,50,0,0,0,472
K4LNN,42,1,41,34,68,7,7,75,0,0,0,33,0,0,0,33,100,100,100,0,0,0,0,0,85,2860
K4NAX,77,1,76,76,152,0,0,152,0,0,38,15,0,0,0,53,100,100,100,0,0,0,0,0,107,8463
K4RUM,44,0,44,44,88,0,0,88,0,0,5,31,1,0,0,37,100,100,100,0,0,0,0,0,132,3688
K4SBZ,41,0,41,41,82,0,0,82,0,0,0,32,2,0,0,34,100,100,100,0,0,0,0,0,466,3554
K4VOZ,14,0,14,9,18,5,5,23,0,0,2,10,0,1,0,13,100,100,100,0,0,0,0,0,82,681
K4WES,75,0,75,0,0,75,75,75,0,0,0,54,0,0,0,54,100,100,100,0,0,0,0,0,0,4350
K4YYL,19,0,19,19,38,0,0,38,0,17,0,0,0,0,0,17,100,100,100,50,0,50,0,0,26,1072
K4ZGB,12,0,12,12,24,0,0,24,0,0,11,1,0,0,0,12,100,100,100,0,0,0,0,0,52,640
K5CS,25,0,25,25,50,0,0,50,0,2,6,14,0,0,0,22,100,100,100,50,0,0,0,0,51,1501
K5NA,10,0,10,10,20,0,0,20,10,0,0,0,0,0,0,10,100,100,100,0,0,0,0,0,9,509
K5NMT,38,0,38,0,0,38,38,38,0,0,1,29,0,0,0,30,100,100,100,50,100,0,0,0,0,1590
K5PM,34,3,31,3,6,28,28,34,0,0,1,23,0,0,0,24,100,100,100,50,100,100,100,100,0,1566
K5QR,15,0,15,15,30,0,0,30,0,0,3,9,0,0,0,12,100,100,100,0,0,0,0,0,3,663
K5VOP,11,1,10,10,20,0,0,20,0,0,2,7,0,0,0,9,100,100,100,50,0,0,0,0,492,1022
K6DGQ,5,0,5,5,10,0,0,10,0,0,0,4,0,0,0,4,100,100,100,0,0,0,0,0,17,357
K6DLB,14,0,14,0,0,14,14,14,0,0,0,13,0,0,0,13,100,100,100,0,0,0,0,0,124,606
K6LA,196,2,194,176,352,18,18,370,0,0,1,100,11,0,0,112,100,100,100,50,100,0,0,0,244,42134
K6RB,200,11,189,189,378,0,0,378,0,0,1,1,0,0,0,2,100,100,100,50,100,100,0,0,258,1564
K6VUG,15,7,8,8,16,0,0,16,0,0,0,8,0,0,0,8,100,100,100,50,0,50,0,0,22,550
K7AZT,33,17,16,16,32,0,0,32,0,0,5,11,0,0,0,16,100,100,100,50,0,100,0,0,112,1074
K7EFA,23,11,12,4,8,8,8,16,0,0,0,11,0,0,0,11,100,100,100,50,0,50,0,0,17,593
K7JNA,13,7,6,6,12,0,0,12,0,0,0,4,0,0,0,4,100,100,100,0,0,0,0,0,288,636
K7NWM,6,3,3,0,0,3,3,3,0,0,0,3,0,0,0,3,100,100,100,50,100,0,0,0,0,459
K7RBT,6,3,3,3,6,0,0,6,0,0,0,3,0,0,0,3,100,100,100,0,0,0,0,0,6,324
K7SDW,25,12,13,13,26,0,0,26,0,0,0,13,0,0,0,13,100,100,100,50,0,0,0,0,53,741
K7ULS,11,6,5,5,10,0,0,10,0,0,5,0,0,0,0,5,100,100,100,0,0,0,0,0,24,374
K7VIT,80,40,40,40,80,0,0,80,0,0,0,26,0,0,0,26,100,100,100,50,100,50,0,0,64,2644
K7Y,27,13,14,9,18,5,5,23,0,0,1,12,0,0,0,13,100,100,100,0,0,0,0,0,51,650
K7YMA,7,4,3,0,0,3,3,3,0,0,0,3,0,0,0,3,100,100,100,50,0,0,0,0,0,359
K8AG-0,3,1,2,2,4,0,0,4,0,0,0,2,0,0,0,2,100,100,100,0,0,0,0,0,2,310
K8BTU,62,31,31,31,62,0,0,62,0,6,18,2,0,0,0,26,100,100,100,50,0,0,0,0,60,2022
K8BZ,31,16,15,15,30,0,0,30,0,0,6,9,0,0,0,15,100,100,100,50,100,0,0,0,53,953
K8GT,37,18,19,19,38,0,0,38,0,5,6,8,0,0,0,19,100,100,100,50,0,150,0,0,38,1260
K8LBQ,52,7,45,45,90,0,0,90,0,0,0,25,0,0,0,25,100,100,100,0,0,0,0,0,86,2636
K8PJK,19,0,19,19,38,0,0,38,0,0,9,8,0,0,0,17,100,100,100,50,0,0,0,0,282,1278
K8RO-3,60,1,59,59,118,0,0,118,0,0,0,39,0,0,0,39,100,100,100,0,0,0,0,0,72,4974
K8SAS,41,0,41,41,82,0,0,82,0,0,7,28,0,0,0,35,100,100,100,50,100,0,0,0,87,3407
K8UTT,108,0,108,4,8,104,104,112,0,0,42,21,0,0,0,63,100,100,100,0,0,100,0,0,0,7456
K8YE,65,0,65,65,130,0,0,130,0,0,1,31,0,0,0,32,100,100,100,0,0,0,0,0,67,4527
K8ZT,23,1,22,22,44,0,0,44,0,0,1,19,0,0,0,20,100,100,100,50,0,0,0,0,71,1301
K9BGL,437,7,430,382,764,48,48,812,13,11,71,122,2,0,0,219,100,100,100,0,0,0,0,0,448,178576
K9BTQ,23,1,22,20,40,2,2,42,0,0,3,17,0,0,0,20,100,100,100,0,0,0,0,0,35,1175
K9KEU,103,103,0,0,0,0,0,0,0,3,12,48,1,0,0,64,100,100,100,50,0,350,0,0,186,886
K9KM,76,76,0,0,0,0,0,0,0,0,18,33,0,0,0,51,100,100,100,50,100,100,0,0,137,687
K9QJS,33,33,0,0,0,0,0,0,0,0,0,2,0,0,0,2,100,100,100,0,0,0,0,0,39,339
K9VER,31,31,0,0,0,0,0,0,0,0,0,6,0,0,0,6,100,100,100,0,0,0,0,0,523,823
KA1PPV,19,19,0,0,0,0,0,0,0,0,12,3,0,0,0,15,100,100,100,50,100,0,0,0,15,465
KA2BXH,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,100,100,100,0,0,0,0,0,2,302
KA3MTT,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,2,100,100,100,0,0,0,0,0,3,303
KA3SME,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,100,100,100,0,0,50,0,0,0,350
KA4WJB,33,33,0,0,0,0,0,0,0,0,10,13,0,0,0,23,100,100,100,50,0,0,0,0,46,396
KA5TTZ,27,27,0,0,0,0,0,0,0,0,1,18,0,0,0,19,100,100,100,50,100,100,0,0,0,550
KA6BID,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,100,100,0,0,0,0,0,14,314
KA9GDW,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,50,0,0,0,0,0,350
KA9OKH,87,87,0,0,0,0,0,0,0,0,35,0,0,0,0,35,100,100,100,50,0,50,50,0,294,744
KB0LQJ,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,100,100,100,50,0,0,0,0,76,426
KB0SS,28,28,0,0,0,0,0,0,0,0,0,14,0,0,0,14,100,100,100,0,0,50,0,0,0,350
KB1BMF,24,24,0,0,0,0,0,0,0,0,4,6,0,0,0,10,100,100,100,50,0,0,0,0,82,432
KB1BSR,19,19,0,0,0,0,0,0,0,0,14,0,0,0,0,14,100,100,100,50,0,0,0,0,274,624
KB1HZM,23,23,0,0,0,0,0,0,0,0,16,0,0,0,0,16,100,100,100,0,0,0,0,0,11,311
KB1IRB,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,7,100,100,100,50,100,0,0,0,0,450
KB1WXM,107,107,0,0,0,0,0,0,0,0,0,54,0,0,0,54,100,100,100,50,0,50,0,0,0,400
KB2PSI,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,100,100,50,0,0,0,0,0,350
KB3AAY,181,181,0,0,0,0,0,0,0,0,28,44,0,0,0,72,100,100,100,0,0,0,0,0,160,460
KB3LIX,54,54,0,0,0,0,0,0,0,0,31,10,0,0,0,41,100,100,100,0,0,100,0,0,46,446
KB3ORG,6,6,0,0,0,0,0,0,0,0,1,4,0,0,0,5,100,100,100,50,100,150,0,0,0,600
KB3SBC,32,32,0,0,0,0,0,0,0,0,8,13,0,0,0,21,100,100,100,50,0,100,0,0,194,644
KB4MG,15,15,0,0,0,0,0,0,0,0,0,14,0,0,0,14,100,100,100,50,0,0,0,0,33,383
KB6IGK,12,12,0,0,0,0,0,0,0,0,0,11,0,0,0,11,100,100,100,0,0,0,0,0,4,304
KB6NU,100,100,0,0,0,0,0,0,0,0,43,0,0,0,0,43,100,100,100,50,0,50,0,0,85,485
KB8GAE,65,65,0,0,0,0,0,0,2,8,27,12,0,0,0,49,100,100,100,50,100,0,0,0,183,633
KB8ZGL,231,231,0,0,0,0,0,0,0,0,0,116,0,0,0,116,100,100,100,50,0,0,0,0,0,350
KB9EWG,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,100,100,100,0,0,0,0,0,175,475
KC0BYE,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,12,100,100,100,50,0,50,0,0,15,415
KC0P,22,22,0,0,0,0,0,0,0,0,7,0,0,0,0,7,100,100,100,50,100,50,0,0,52,552
KC1AEO,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,100,100,100,50,0,0,0,0,0,350
KC1SA,10,10,0,0,0,0,0,0,0,0,1,9,0,0,0,10,100,100,100,0,0,100,0,0,12,412
KC2JJQ,4,4,0,0,0,0,0,0,0,0,2,1,0,0,0,3,100,100,100,0,0,0,0,0,0,300
KC2SWB,25,25,0,0,0,0,0,0,0,0,0,22,0,0,0,22,100,100,100,50,100,0,0,0,44,494
KC2WUF,11,11,0,0,0,0,0,0,0,1,5,1,0,0,0,7,100,100,100,0,0,0,0,0,71,371
