call,qsos_submitted,qsos_dropped,qsos_valid,cw_qso,cw_qso_pts,ph_qso,ph_qso_pts,total_qso_pts,gs_1,gs_3,gs_7,gs_14,gs_21,gs_28,gs_50,total_gs,operated_totality,operated_outdoors,operated_public,ground_conductivity,antenna_design,erpd,skimmers,iq_data,spot_bonus,total
KC3ASH,4,4,0,0,0,0,0,0,0,0,2,2,0,0,0,4,100,100,100,50,0,0,0,0,0,350
KC3FDA,10,10,0,0,0,0,0,0,0,0,0,8,0,0,0,8,100,100,100,50,100,0,0,0,512,962
KC4AUF,50,50,0,0,0,0,0,0,0,0,0,36,0,0,0,36,100,100,100,50,100,50,0,0,90,590
KC4SI,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,100,100,100,50,0,0,0,0,5,355
KC5DCT,16,16,0,0,0,0,0,0,0,0,0,15,0,0,0,15,100,100,100,50,0,0,0,0,9,359
KC6MIE,12,12,0,0,0,0,0,0,0,0,0,10,0,0,0,10,100,100,100,0,0,0,0,0,0,300
KC6ZKT,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,100,100,100,50,0,0,0,0,0,350
KC8RPV,29,29,0,0,0,0,0,0,0,0,11,14,0,0,0,25,100,100,100,0,100,200,0,0,51,651
KC9UNL,21,21,0,0,0,0,0,0,0,0,17,0,0,0,0,17,100,100,100,0,0,0,0,0,75,375
KC9UXC,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,50,0,0,0,0,0,350
KD0FZT,13,13,0,0,0,0,0,0,0,0,0,11,0,0,0,11,100,100,100,0,0,0,0,0,0,300
KD0IRW,76,76,0,0,0,0,0,0,0,0,16,45,0,0,0,61,100,100,100,0,0,0,0,0,21,321
KD1YV,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,100,100,100,50,0,0,0,0,23,373
KD2ABK,4,4,0,0,0,0,0,0,0,0,3,1,0,0,0,4,100,100,100,0,0,0,0,0,0,300
KD2GUD,26,26,0,0,0,0,0,0,0,0,18,3,0,0,0,21,100,100,100,50,0,0,0,0,30,380
KD2HJZ,93,93,0,0,0,0,0,0,0,0,44,24,0,0,0,68,100,100,100,0,0,100,0,0,27,427
KD2HWE,6,6,0,0,0,0,0,0,0,0,2,4,0,0,0,6,100,100,100,50,100,0,0,0,0,450
KD2MI,29,29,0,0,0,0,0,0,0,0,16,0,0,0,0,16,100,100,100,50,0,50,0,0,16,416
KD3TB,20,20,0,0,0,0,0,0,0,2,7,7,0,0,0,16,100,100,100,0,0,0,0,0,32,332
KD4QIT,19,19,0,0,0,0,0,0,0,0,15,0,0,0,0,15,100,100,100,0,0,50,0,0,106,456
KD4UYP,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,100,100,100,50,100,50,0,0,0,500
KD5HIP,30,30,0,0,0,0,0,0,0,0,24,0,0,0,0,24,100,100,100,50,0,0,0,0,161,511
KD5ILA,80,80,0,0,0,0,0,0,0,0,28,38,0,0,0,66,100,100,100,0,0,0,0,0,65,365
KD5KC,27,27,0,0,0,0,0,0,0,0,0,26,0,0,0,26,100,100,100,0,0,50,0,0,873,1223
KD8DEU,75,75,0,0,0,0,0,0,0,0,15,34,0,0,0,49,100,100,100,0,0,0,0,0,109,409
KD8UPX,7,7,0,0,0,0,0,0,0,0,2,5,0,0,0,7,100,100,100,0,0,0,0,0,0,300
KD9CLH,37,37,0,0,0,0,0,0,0,0,0,33,0,0,0,33,100,100,100,50,0,0,0,0,95,445
KE0LCS,29,29,0,0,0,0,0,0,0,0,0,23,0,0,0,23,100,100,100,50,0,100,100,0,229,779
KE0TT,96,96,0,0,0,0,0,0,0,0,10,41,0,0,0,51,100,100,100,50,0,0,0,0,91,441
KE1B,203,203,0,0,0,0,0,0,0,0,0,113,0,0,0,113,100,100,100,0,0,50,0,0,172,522
KE4GVO,15,15,0,0,0,0,0,0,0,0,13,1,0,0,0,14,100,100,100,50,0,0,0,0,8,358
KE8BYM,43,43,0,0,0,0,0,0,0,0,0,18,0,0,1,19,100,100,100,50,0,0,0,0,293,643
KF7GGN,24,24,0,0,0,0,0,0,0,0,2,19,0,0,0,21,100,100,100,50,0,0,0,0,15,365
KG2DWS,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,100,100,100,0,0,0,0,0,0,300
KG4GVJ,6,6,0,0,0,0,0,0,0,0,2,4,0,0,0,6,100,100,100,50,100,0,0,0,2,452
KG4NXT,27,27,0,0,0,0,0,0,0,0,12,10,0,0,0,22,100,100,100,0,0,0,0,0,30,330
KG5LRP,295,295,0,0,0,0,0,0,0,0,0,117,0,0,0,117,100,100,100,50,0,0,0,0,107,457
KG5THG,37,37,0,0,0,0,0,0,0,0,0,34,0,0,0,34,100,100,100,50,0,0,0,0,653,1003
KG7DMI,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,100,100,100,0,0,0,0,0,8,308
KI0F,87,87,0,0,0,0,0,0,0,0,0,53,0,0,0,53,100,100,100,50,0,0,0,0,49,399
KI0G,16,16,0,0,0,0,0,0,0,0,9,0,0,0,0,9,100,100,100,0,0,50,0,0,42,392
KI4CJT,17,17,0,0,0,0,0,0,0,0,7,3,0,0,0,10,100,100,100,0,100,0,0,0,30,430
KI4FW,25,25,0,0,0,0,0,0,0,0,0,19,1,0,0,20,100,100,100,50,0,100,0,0,19,469
KI4JVE,38,38,0,0,0,0,0,0,0,0,7,20,0,0,0,27,100,100,100,50,100,100,0,50,0,600
KI4MZC,40,40,0,0,0,0,0,0,0,4,17,13,0,0,0,34,100,100,100,50,100,150,0,0,19,619
KI5SC,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,0,0,0,0,400
KJ4TOZ,47,47,0,0,0,0,0,0,0,0,29,0,0,0,0,29,100,100,100,0,0,0,0,0,4,304
KJ6BQM,14,14,0,0,0,0,0,0,0,0,0,13,0,0,0,13,100,100,100,0,0,50,0,0,311,661
KJ6KCG,16,16,0,0,0,0,0,0,0,0,0,14,0,0,0,14,100,100,100,50,100,0,0,0,0,450
KJ9C,132,132,0,0,0,0,0,0,0,5,24,65,0,0,0,94,100,100,100,50,0,150,300,0,294,1094
KK1VT,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,3,100,100,100,0,0,0,0,0,0,300
KK3Q,25,25,0,0,0,0,0,0,0,0,12,7,3,0,0,22,100,100,100,50,100,0,0,0,175,625
KK4AGN,48,48,0,0,0,0,0,0,0,0,4,35,0,0,0,39,100,100,100,0,0,0,0,0,0,300
KK4BZ,36,36,0,0,0,0,0,0,0,0,14,7,0,0,0,21,100,100,100,50,100,0,0,0,0,450
KK4MWC,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,100,100,50,0,0,0,0,0,350
KK4TSS,28,28,0,0,0,0,0,0,0,1,17,6,0,0,0,24,100,100,100,50,0,0,0,0,135,485
KK5HT,44,44,0,0,0,0,0,0,0,0,0,31,0,0,0,31,100,100,100,0,0,0,0,0,175,475
KK6L,12,12,0,0,0,0,0,0,0,0,2,10,0,0,0,12,100,100,100,50,0,50,0,0,9,409
KK6MLY,9,9,0,0,0,0,0,0,0,0,0,8,0,0,0,8,100,100,100,50,0,150,0,0,0,500
KM1G,7,7,0,0,0,0,0,0,0,0,2,3,2,0,0,7,100,100,100,0,0,0,0,0,1,301
KM4FLU,21,21,0,0,0,0,0,0,0,0,0,15,0,0,0,15,100,100,100,0,0,0,0,0,15,315
KM4HI,110,110,0,0,0,0,0,0,0,0,0,65,3,0,3,71,100,100,100,50,0,0,0,0,484,834
KM4OZH,6,6,0,0,0,0,0,0,0,0,4,2,0,0,0,6,100,100,100,50,0,100,0,0,0,450
KM4RKT,19,19,0,0,0,0,0,0,0,0,13,0,0,0,0,13,100,100,100,0,0,0,0,0,0,300
KM4VCF,14,14,0,0,0,0,0,0,0,0,5,9,0,0,0,14,100,100,100,0,0,0,0,0,0,300
KM4VCO,17,17,0,0,0,0,0,0,0,0,9,4,0,0,0,13,100,100,100,50,100,200,100,100,0,850
KM4YMI,32,32,0,0,0,0,0,0,0,0,15,10,0,0,0,25,100,100,100,50,0,0,0,0,94,444
KN4FRG,130,130,0,0,0,0,0,0,0,0,52,35,1,0,0,88,100,100,100,0,0,150,0,0,0,450
KN4Y,15,15,0,0,0,0,0,0,0,0,0,0,0,12,0,12,100,100,100,0,0,0,0,0,34,334
KP3LH,46,46,0,0,0,0,0,0,0,0,0,30,0,3,0,33,100,100,100,0,0,200,0,0,120,620
KP4RP,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,50,50,0,233,633
KR7RK,11,11,0,0,0,0,0,0,0,0,2,3,0,3,0,8,100,100,100,50,0,0,0,0,40,390
KS0M,19,19,0,0,0,0,0,0,0,0,0,12,0,0,0,12,100,100,100,0,0,0,0,0,18,318
KS3K,35,35,0,0,0,0,0,0,0,0,0,24,0,0,0,24,100,100,100,0,0,0,0,0,20,320
KS4S,39,39,0,0,0,0,0,0,0,0,27,0,0,0,0,27,100,100,100,0,0,0,0,0,70,370
KS6M,19,19,0,0,0,0,0,0,0,0,0,12,0,0,0,12,100,100,100,0,0,0,0,0,168,468
KT3L,56,56,0,0,0,0,0,0,0,2,29,6,0,0,0,37,100,100,100,50,0,0,0,0,203,553
KT3P,9,9,0,0,0,0,0,0,0,0,6,1,0,0,0,7,100,100,100,0,0,0,0,0,82,382
KT4BOB,4,4,0,0,0,0,0,0,0,0,3,1,0,0,0,4,100,100,100,0,0,0,0,0,57,357
KT4Q,188,188,0,0,0,0,0,0,0,0,4,92,0,0,0,96,100,100,100,0,0,100,0,0,68,468
KT5LA,20,20,0,0,0,0,0,0,0,0,0,16,0,0,0,16,100,100,100,50,0,0,0,0,7,357
KT8TD,8,8,0,0,0,0,0,0,0,0,0,6,2,0,0,8,100,100,100,0,0,0,0,0,0,300
KU4V,69,69,0,0,0,0,0,0,0,0,8,37,1,0,0,46,100,100,100,50,0,0,0,0,77,427
KW0J,97,97,0,0,0,0,0,0,0,0,29,40,4,0,0,73,100,100,100,50,100,0,0,0,104,554
KW0KW,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,50,100,0,0,0,0,450
KW1NG,23,23,0,0,0,0,0,0,0,0,10,11,0,0,0,21,100,100,100,50,100,0,0,0,33,483
KW9R,72,72,0,0,0,0,0,0,0,0,45,0,0,0,0,45,100,100,100,50,0,0,0,0,142,492
KX4KU,17,17,0,0,0,0,0,0,0,0,13,1,0,0,0,14,100,100,100,50,0,0,0,0,27,377
LU5FF,29,29,0,0,0,0,0,0,0,0,0,23,1,0,0,24,100,100,100,0,100,100,100,0,363,963
N0AXZ,22,22,0,0,0,0,0,0,0,0,0,16,0,0,0,16,100,100,100,0,0,0,0,0,152,452
N0BUI,71,71,0,0,0,0,0,0,0,0,17,35,0,0,0,52,100,100,100,0,0,0,0,0,167,467
N0DIM,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,100,100,100,50,0,0,0,0,0,350
N0GB,52,52,0,0,0,0,0,0,0,0,17,21,0,0,0,38,100,100,100,0,0,100,0,0,325,725
N0GOS,35,35,0,0,0,0,0,0,0,0,0,20,0,0,0,20,100,100,100,0,0,0,0,0,34,334
N0KQ,50,50,0,0,0,0,0,0,0,0,0,44,1,0,0,45,100,100,100,0,0,50,0,0,22,372
N0NM,117,117,0,0,0,0,0,0,0,0,0,83,0,0,0,83,100,100,100,0,0,0,0,0,120,420
N0UK,58,58,0,0,0,0,0,0,0,0,0,39,0,0,0,39,100,100,100,50,100,50,0,0,93,593
N0UV,129,129,0,0,0,0,0,0,0,0,0,44,0,0,0,44,100,100,100,0,0,0,0,0,70,370
N1COR,15,15,0,0,0,0,0,0,0,0,0,7,0,0,0,7,100,100,100,50,0,0,0,0,11,361
N1DC,102,102,0,0,0,0,0,0,0,7,12,50,0,0,0,69,100,100,100,0,0,0,0,0,159,459
N1FI,8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,8,100,100,100,50,0,0,0,0,0,350
N1FTP,21,21,0,0,0,0,0,0,0,0,7,11,0,0,0,18,100,100,100,50,0,100,0,0,0,450
N1IA,16,16,0,0,0,0,0,0,0,0,0,13,0,0,0,13,100,100,100,0,0,0,0,0,260,560
N1IXF,116,116,0,0,0,0,0,0,0,0,1,41,0,0,0,42,100,100,100,50,0,0,0,0,91,441
N1MD,72,72,0,0,0,0,0,0,0,0,0,40,0,0,0,40,100,100,100,50,0,0,0,0,76,426
N1NN,13,13,0,0,0,0,0,0,0,0,1,12,0,0,0,13,100,100,100,0,0,0,0,0,11,311
N1SER,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,100,100,100,0,0,0,0,0,12,312
N2CG,31,31,0,0,0,0,0,0,0,0,0,25,0,0,0,25,100,100,100,50,0,50,0,0,69,469
N2ESP,31,31,0,0,0,0,0,0,0,0,2,26,0,0,0,28,100,100,100,50,0,0,0,0,38,388
N2FYE,15,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,100,100,0,100,0,0,0,9,409
N2HTT,9,9,0,0,0,0,0,0,0,1,4,4,0,0,0,9,100,100,100,0,0,0,0,0,23,323
N2KND,7,7,0,0,0,0,0,0,0,0,0,6,0,0,0,6,100,100,100,50,100,250,0,0,48,748
N3AO,38,38,0,0,0,0,0,0,0,0,17,12,0,0,0,29,100,100,100,0,0,0,0,0,47,347
N3ATE,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,100,100,100,50,0,0,0,0,0,350
N3FWE,13,13,0,0,0,0,0,0,0,0,11,2,0,0,0,13,100,100,100,0,0,0,0,0,61,361
N3HEE,128,128,0,0,0,0,0,0,0,1,46,32,1,0,0,80,100,100,100,0,0,0,0,0,143,443
N3KN,67,67,0,0,0,0,0,0,0,3,30,16,0,0,0,49,100,100,100,0,0,0,0,0,245,545
N3MLB,22,22,0,0,0,0,0,0,0,1,6,12,0,0,0,19,100,100,100,50,0,150,0,0,23,523
N3SW,40,40,0,0,0,0,0,0,0,5,14,17,0,0,0,36,100,100,100,50,0,0,0,0,61,411
N3TWM,25,25,0,0,0,0,0,0,0,0,9,10,0,0,0,19,100,100,100,50,100,0,0,0,36,486
N4BAT,21,21,0,0,0,0,0,0,0,0,0,18,0,0,0,18,100,100,100,50,0,0,0,0,0,350
N4BP,444,444,0,0,0,0,0,0,0,0,0,166,0,0,0,166,100,100,100,0,0,0,0,0,441,741
N4BTA,47,47,0,0,0,0,0,0,0,0,21,13,0,0,0,34,100,100,100,50,100,100,0,0,72,622
N4DLT,14,14,0,0,0,0,0,0,0,0,0,10,0,0,0,10,100,100,100,50,0,0,0,0,138,488
N4E,8,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8,100,100,100,0,0,0,0,0,0,300
N4HAI,55,55,0,0,0,0,0,0,0,0,26,11,0,0,0,37,100,100,100,50,100,0,0,0,96,546
N4NM,42,42,0,0,0,0,0,0,0,0,11,24,0,0,0,35,100,100,100,0,0,0,0,0,126,426
N4NO,161,161,0,0,0,0,0,0,8,22,62,0,0,0,0,92,100,100,100,50,0,150,0,0,171,671
N4QM,75,75,0,0,0,0,0,0,0,0,39,0,0,0,0,39,100,100,100,50,0,50,0,0,65,465
N4QS,146,146,0,0,0,0,0,0,0,20,20,75,1,0,0,116,100,100,100,0,0,0,0,0,205,505
N4RDZ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,100,100,100,50,0,0,0,0,0,350
N4VUG,10,10,0,0,0,0,0,0,0,0,0,9,0,0,0,9,100,100,100,0,0,0,0,0,214,514
N4YDU,225,225,0,0,0,0,0,0,0,9,52,70,3,0,0,134,100,100,100,0,0,0,0,0,218,518
N5EE,122,122,0,0,0,0,0,0,0,1,19,70,0,0,0,90,100,100,100,50,0,150,0,0,190,690
N5EKW,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,9,100,100,100,50,0,0,0,0,42,392
N5RHS,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,100,100,100,50,100,0,0,0,0,450
N5ZC,254,254,0,0,0,0,0,0,0,0,0,134,0,0,0,134,100,100,100,50,0,0,0,0,183,533
N5ZO,136,136,0,0,0,0,0,0,0,0,0,94,2,0,0,96,100,100,100,0,0,0,0,0,146,446
N5ZY,37,37,0,0,0,0,0,0,0,2,11,22,0,0,0,35,100,100,100,50,0,150,0,0,1154,1654
N6BCT,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,100,100,100,50,100,0,0,0,8,458
N6GP,11,11,0,0,0,0,0,0,0,0,0,11,0,0,0,11,100,100,100,0,0,0,0,0,74,374
N6IC,18,18,0,0,0,0,0,0,0,0,0,17,0,0,0,17,100,100,100,0,0,0,0,0,45,345
N6MRS,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,100,100,0,0,0,0,0,0,300
N6OI,28,28,0,0,0,0,0,0,0,0,0,18,0,0,0,18,100,100,100,50,0,50,0,0,56,456
N6REK,7,7,0,0,0,0,0,0,0,0,2,5,0,0,0,7,100,100,100,0,0,0,0,0,159,459
N7EIE,25,25,0,0,0,0,0,0,0,3,2,18,0,0,0,23,100,100,100,50,0,150,0,0,35,535
N7GOA,62,62,0,0,0,0,0,0,0,0,6,36,0,0,0,42,100,100,100,50,100,0,0,0,73,523
N7MSI,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,100,100,100,50,0,0,0,0,0,350
N7RCS,12,12,0,0,0,0,0,0,0,0,8,2,0,0,0,10,100,100,100,0,0,200,0,0,36,536
N7S,115,115,0,0,0,0,0,0,0,0,13,72,1,0,0,86,100,100,100,0,0,0,0,0,183,483
N7TWS,13,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,100,100,50,0,50,0,0,58,458
N7WY,101,101,0,0,0,0,0,0,0,0,5,56,0,0,0,61,100,100,100,50,0,0,0,0,95,445
N8BD,9,9,0,0,0,0,0,0,0,0,7,1,0,0,0,8,100,100,100,50,0,0,0,0,0,350
N8FYL,32,32,0,0,0,0,0,0,0,0,17,12,0,0,0,29,100,100,100,0,0,0,0,0,166,466
N8HM,17,17,0,0,0,0,0,0,0,0,0,12,0,0,0,12,100,100,100,0,0,50,0,0,148,498
N8KR,60,60,0,0,0,0,0,0,0,0,21,14,0,0,0,35,100,100,100,50,0,0,0,0,71,421
N8NFE,18,18,0,0,0,0,0,0,0,1,10,5,0,0,0,16,100,100,100,50,0,0,0,0,81,431
N8PW,397,397,0,0,0,0,0,0,0,0,113,0,0,0,0,113,100,100,100,50,0,50,0,0,203,603
N8SK,11,11,0,0,0,0,0,0,0,0,0,9,0,0,0,9,100,100,100,50,0,0,0,0,274,624
N8SOP,5,5,0,0,0,0,0,0,0,0,3,2,0,0,0,5,100,100,100,50,100,100,0,0,1,551
N8TCP,19,19,0,0,0,0,0,0,0,0,3,14,0,0,0,17,100,100,100,0,0,0,0,0,1,301
N8TFD,6,6,0,0,0,0,0,0,0,1,5,0,0,0,0,6,100,100,100,0,0,0,0,0,0,300
N8VQG,7,7,0,0,0,0,0,0,0,0,3,4,0,0,0,7,100,100,100,0,0,0,0,0,0,300
N9BD,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,9,100,100,100,50,0,50,0,50,0,450
N9EP,97,97,0,0,0,0,0,0,4,2,31,31,0,0,0,68,100,100,100,50,100,200,450,0,132,1232
N9JF,53,53,0,0,0,0,0,0,0,0,12,27,0,0,0,39,100,100,100,50,0,0,0,0,87,437
N9WL,8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,8,100,100,100,50,100,50,0,0,1,501
NA2X,22,22,0,0,0,0,0,0,0,11,0,0,0,0,0,11,100,100,100,50,0,0,0,0,17,367
NB0Z,26,26,0,0,0,0,0,0,0,0,1,20,0,0,0,21,100,100,100,0,0,0,0,0,21,321
NC4MI,38,38,0,0,0,0,0,0,0,0,6,26,0,0,0,32,100,100,100,0,0,200,0,0,38,538
NC4RT,11,11,0,0,0,0,0,0,0,0,4,7,0,0,0,11,100,100,100,50,0,150,0,0,58,558
NC6Q,19,19,0,0,0,0,0,0,0,0,5,11,0,0,0,16,100,100,100,0,0,0,0,0,113,413
ND4G,18,18,0,0,0,0,0,0,0,0,1,14,0,0,0,15,100,100,100,0,0,0,0,0,48,348
ND9Z,68,68,0,0,0,0,0,0,0,0,0,36,0,0,0,36,100,100,100,50,0,50,0,0,91,491
NE5DL,70,70,0,0,0,0,0,0,0,0,16,40,0,0,0,56,100,100,100,50,0,0,0,0,147,497
NG2H,116,116,0,0,0,0,0,0,3,12,34,37,2,0,0,88,100,100,100,50,0,0,0,0,137,487
NG9M,90,90,0,0,0,0,0,0,0,13,42,9,0,0,0,64,100,100,100,50,0,150,0,0,0,500
NJ0P,7,7,0,0,0,0,0,0,0,0,0,6,0,0,0,6,100,100,100,50,0,0,0,0,4,354
NK6A,81,81,0,0,0,0,0,0,0,0,7,57,1,0,0,65,100,100,100,0,0,0,0,0,144,444
NN5O,52,52,0,0,0,0,0,0,0,0,0,40,0,0,0,40,100,100,100,50,0,50,0,0,71,471
NO7DE,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,100,100,100,50,0,50,0,0,9,409
NO7E,17,17,0,0,0,0,0,0,0,0,1,16,0,0,0,17,100,100,100,50,0,0,0,0,221,571
NP4EG,20,20,0,0,0,0,0,0,0,0,0,20,0,0,0,20,100,100,100,0,0,0,0,0,70,370
NP4LW,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,100,100,100,0,0,0,0,0,0,300
NP4RA,15,15,0,0,0,0,0,0,0,0,0,12,0,0,0,12,100,100,100,0,0,0,0,0,78,378
NQ6N,116,116,0,0,0,0,0,0,0,34,0,43,0,0,0,77,100,100,100,50,0,100,0,0,215,665
NQ9A,13,13,0,0,0,0,0,0,0,0,2,10,0,0,0,12,100,100,100,0,0,0,0,0,20,320
NR4J,14,14,0,0,0,0,0,0,0,0,13,0,0,0,0,13,100,100,100,50,100,50,0,0,7,507
NS3C,44,44,0,0,0,0,0,0,0,0,3,25,0,0,0,28,100,100,100,50,0,0,0,0,62,412
NV1W,11,11,0,0,0,0,0,0,0,0,0,10,0,0,0,10,100,100,100,0,0,50,0,0,5,355
